Site No.,Station Type,Address,Lat,Long,Elev(m),Team
509398,Rain_gauge,BALLAJURA DRAIN AT BALLAJURA,-31.82422531,115.8720302,39,Catchment & Environments
509417,Rain_gauge,WOODBRIDGE CREEK AT BROWN PARK (P1),-31.89139964,116.052425,48,Catchment & Environments
509452,Rain_gauge,LESMURDIE BROOK  AT ORANGEDALE ROAD (P9) ,-32.00512639,116.0602558,267,Catchment & Environments
509460,Rain_gauge,POISON GULLY AT MAIDA VALE (P6),-31.94755817,116.0602558,267,Catchment & Environments
509573,Rain_gauge,LIGHT ST B.D. AT MORLEY ,-31.88916667,115.8888889,24,Catchment & Environments
509574,Rain_gauge,BOORAGOON LAKE INFLOW  AT PINEY LAKES RESERVE ,-32.04752578,115.8421536,20,Catchment & Environments
509583,Rain_gauge,MARKET GARDEN SWAMPS AT PACKHAM 1B DRAIN ,-32.11756731,115.7791569,2,Catchment & Environments
509593,Rain_gauge,ESSEX ST MD AT FREMANTLE JAIL ,-32.05580011,115.7539209,20,Catchment & Environments
509702,Rain_gauge,ROCKINGHAM MAIN DRAIN AT WENDO COURT,-32.28388889,115.7616667,8,Catchment & Environments
509704,Rain_gauge,COLIN RD MAIN DRAIN AT COLIN RD COMP BASIN ,-31.89972222,115.7666667,3,Catchment & Environments
509451,Rain_gauge,BICKLEY BROOK AT AUSTIN AVENUE (P10) ,-32.04166667,115.9775,7,Catchment & Environments
509458,Rain_gauge,WOODLUPINE BROOK AT WELSHPOOL (P8) ,-32.00361111,115.9769444,13,Catchment & Environments
509459,Rain_gauge,NEERIGEN BROOK AT ARMADALE (P5),-32.14961497,116.0206035,63,Catchment & Environments
509703,Rain_gauge,MILLS ST MAIN DRAIN AT ELLAM ST EAST COMPENSATING BASIN,-31.99611111,115.9175,8,Catchment & Environments
W0034613,Rain_gauge,MT ELIZA FRASER AV KINGS PARK,-31.95803407,115.841475,73,Catchment & Environments
616015,GSTN,POISON GULLY CREEK AT LITTLEFIELD RD,-31.95365836,116.0067114,40,Catchment & Environments
616042,GSTN,YULE BROOK MAIN DRAIN AT BRIXTON STREET,-32.02527778,115.9672222,5,Catchment & Environments
616043,GSTN,MILL ST MAIN DRAIN AT PALM PLACE,-32.0164365,115.9194876,4,Catchment & Environments
616044,GSTN,NEERIGEN BROOK MAIN DRAIN AT ABBEY ROAD,-32.15,116.0108333,52,Catchment & Environments
616045,GSTN,MT LAWLEY MAIN DRAIN AT MT LAWLEY,-31.93899975,115.8789457,0,Catchment & Environments
616046,GSTN,WOODLUPINE BROOK AT HARTFIELD PARK,-31.99871789,115.989394,18,Catchment & Environments
616047,GSTN,BICKLEY BROOK MAIN DRAIN AT AUSTIN AVE,-32.04305556,115.9761953,7,Catchment & Environments
